model,coda,context_analyze,context_question,few_shot,task_and_definition,task_only,zero_shot_cot
Llama-2-13b-chat-hf,74.4335752603345,69.87062164720732,56.60039970548018,98.5189860103082,81.18649416219628,82.93888713579469,83.4837488166614
Llama-2-7b-chat-hf,71.63418353491676,69.53688036598358,89.36934678615445,99.0035721000188,72.1522424850118,89.85189363079944,90.80027574105408
Llama-2-7b-hf,,57.03453030018174,76.23195671701029,33.030435963318084,56.40784608635708,40.48797810783146,67.69651772471852
Mistral-7B-Instruct-v0.1,80.92791042593636,99.98328842096468,99.96866578930876,99.96030999979111,99.8516847360615,99.98119947358526,99.68456894570826
falcon-40b-instruct,59.452736318407965,99.61551631118036,99.756902196093,99.70585671128093,99.68538797727213,99.16912101949458,83.98372103895251
falcon-7b-instruct,84.41018570742203,96.37776524409351,94.91341313112322,88.81786467798875,94.44757786551357,96.02055524221345,96.35269787554051
flan-alpaca-gpt4-xl,99.66994631405235,99.99164421048233,99.98955526310293,99.99791105262058,99.99373315786175,99.99373315786175,99.7848384199202
flan-alpaca-xxl,100.0,100.0,99.99164421048233,100.0,99.99791105262058,99.98746631572351,100.0
flan-ul2,99.98119947358526,100.0,100.0,100.0,100.0,100.0,100.0
phi-2,36.807252825301326,70.95109774184787,87.32635624908609,58.383990307284165,60.90326084685926,73.82548933592363,67.24112719600593
